Tank_Number,Cycle_Number,Collected,Reef,Temperature,Ramp_Started_Day_1,Colony_Number,Day,Score,Scorer_1,Scorer_2,Scorer_3,Notes,Notes2
1,6,7/19/18,41,30,,296,0,M,KCH,NSW,,,
1,6,7/19/18,41,30,,296,1,V,KCH,NSW,,,
1,6,7/19/18,41,30,,296,2,M,KCH,NSW,BHC,,
2,6,7/19/18,41,30,,296,0,V,KCH,NSW,,,
2,6,7/19/18,41,30,,296,1,V,KCH,BHC,,,
2,6,7/19/18,41,30,,296,2,V,KCH,NSW,BHC,,
3,6,7/19/18,41,33.5,,296,0,N,KCH,NSW,,,
3,6,7/19/18,41,33.5,,296,1,N,KCH,BHC,,,
3,6,7/19/18,41,33.5,,296,2,V,KCH,NSW,BHC,,
4,6,7/19/18,41,34,,296,0,N,KCH,NSW,,,
4,6,7/19/18,41,34,,296,1,M,KCH,BHC,,,
4,6,7/19/18,41,34,,296,2,V,KCH,NSW,BHC,,
5,6,7/19/18,41,34.5,,296,0,N,KCH,NSW,,,
5,6,7/19/18,41,34.5,,296,1,M,KCH,BHC,,,
5,6,7/19/18,41,34.5,,296,2,S,KCH,NSW,BHC,,
1,6,7/19/18,41,30,,297,0,V,KCH,NSW,,,
1,6,7/19/18,41,30,,297,1,V,KCH,NSW,,,
1,6,7/19/18,41,30,,297,2,V/T,KCH,NSW,BHC,TOP/BOTTOM,
2,6,7/19/18,41,30,,297,0,V,KCH,NSW,,,
2,6,7/19/18,41,30,,297,1,N,KCH,BHC,,,
2,6,7/19/18,41,30,,297,2,V,KCH,NSW,BHC,,
3,6,7/19/18,41,33.5,,297,0,V,KCH,NSW,,,
3,6,7/19/18,41,33.5,,297,1,V,KCH,BHC,,,
3,6,7/19/18,41,33.5,,297,2,N,KCH,NSW,BHC,,
4,6,7/19/18,41,34,,297,0,N,KCH,NSW,,,
4,6,7/19/18,41,34,,297,1,N,KCH,BHC,,,
4,6,7/19/18,41,34,,297,2,V,KCH,NSW,BHC,,
5,6,7/19/18,41,34.5,,297,0,N,KCH,NSW,,,
5,6,7/19/18,41,34.5,,297,1,V,KCH,BHC,,,
5,6,7/19/18,41,34.5,,297,2,V,KCH,NSW,BHC,,
1,6,7/19/18,41,30,,298,0,N,KCH,NSW,,,
1,6,7/19/18,41,30,,298,1,N,KCH,NSW,,,
1,6,7/19/18,41,30,,298,2,N,KCH,NSW,BHC,,
2,6,7/19/18,41,30,,298,0,N,KCH,NSW,,,
2,6,7/19/18,41,30,,298,1,N,KCH,BHC,,,
2,6,7/19/18,41,30,,298,2,N,KCH,NSW,BHC,,
3,6,7/19/18,41,33.5,,298,0,N,KCH,NSW,,,
3,6,7/19/18,41,33.5,,298,1,N,KCH,BHC,,,
3,6,7/19/18,41,33.5,,298,2,N,KCH,NSW,BHC,,
4,6,7/19/18,41,34,,298,0,N,KCH,NSW,,,
4,6,7/19/18,41,34,,298,1,N,KCH,BHC,,,
4,6,7/19/18,41,34,,298,2,M,KCH,NSW,BHC,,
5,6,7/19/18,41,34.5,,298,0,N,KCH,NSW,,,
5,6,7/19/18,41,34.5,,298,1,V,KCH,BHC,,,
5,6,7/19/18,41,34.5,,298,2,T,KCH,NSW,BHC,,
6,6,7/19/18,41,30,,299,0,V,KCH,NSW,,,
6,6,7/19/18,41,30,,299,1,N,KCH,BHC,,,
6,6,7/19/18,41,30,,299,2,N,KCH,BHC,NSW,,
7,6,7/19/18,41,30,,299,0,N,KCH,NSW,,,
7,6,7/19/18,41,30,,299,1,N,KCH,BHC,,,
7,6,7/19/18,41,30,,299,2,N,KCH,NSW,BHC,,
8,6,7/19/18,41,33.5,,299,0,V,KCH,NSW,,,
8,6,7/19/18,41,33.5,,299,1,V,KCH,BHC,,,
8,6,7/19/18,41,33.5,,299,2,V,KCH,NSW,BHC,,
9,6,7/19/18,41,34,,299,0,N,KCH,NSW,,,
9,6,7/19/18,41,34,,299,1,N,KCH,BHC,,,
9,6,7/19/18,41,34,,299,2,N,KCH,NSW,BHC,,
10,6,7/19/18,41,34.5,,299,0,V,KCH,NSW,,MUCUS,
10,6,7/19/18,41,34.5,,299,1,V,KCH,BHC,,,
10,6,7/19/18,41,34.5,,299,2,M,KCH,NSW,BHC,,
6,6,7/19/18,41,30,,300,0,V,KCH,NSW,,,
6,6,7/19/18,41,30,,300,1,V,KCH,BHC,,,
6,6,7/19/18,41,30,,300,2,V,KCH,BHC,NSW,,
7,6,7/19/18,41,30,,300,0,M,KCH,NSW,,,
7,6,7/19/18,41,30,,300,1,V,KCH,BHC,,,
7,6,7/19/18,41,30,,300,2,V,KCH,NSW,BHC,,
8,6,7/19/18,41,33.5,,300,0,V,KCH,NSW,,,
8,6,7/19/18,41,33.5,,300,1,V,KCH,BHC,,,
8,6,7/19/18,41,33.5,,300,2,M,KCH,NSW,BHC,,
9,6,7/19/18,41,34,,300,0,V,KCH,NSW,,,
9,6,7/19/18,41,34,,300,1,V,KCH,BHC,,,
9,6,7/19/18,41,34,,300,2,M,KCH,NSW,BHC,,
10,6,7/19/18,41,34.5,,300,0,M,KCH,NSW,,,
10,6,7/19/18,41,34.5,,300,1,S,KCH,BHC,,,
10,6,7/19/18,41,34.5,,300,2,T,KCH,NSW,BHC,,
6,6,7/19/18,42,30,,301,0,N,KCH,NSW,,,
6,6,7/19/18,42,30,,301,1,V,KCH,BHC,,,
6,6,7/19/18,42,30,,301,2,N,KCH,BHC,NSW,,
7,6,7/19/18,42,30,,301,0,V,KCH,NSW,,,
7,6,7/19/18,42,30,,301,1,V,KCH,BHC,,,
7,6,7/19/18,42,30,,301,2,V,KCH,NSW,BHC,,
8,6,7/19/18,42,33.5,,301,0,V,KCH,NSW,,,
8,6,7/19/18,42,33.5,,301,1,M,KCH,BHC,,,
8,6,7/19/18,42,33.5,,301,2,M,KCH,NSW,BHC,,
9,6,7/19/18,42,34,,301,0,V,KCH,NSW,,,
9,6,7/19/18,42,34,,301,1,V,KCH,BHC,,,
9,6,7/19/18,42,34,,301,2,M/T,KCH,NSW,BHC,,
10,6,7/19/18,42,34.5,,301,0,V,KCH,NSW,,,
10,6,7/19/18,42,34.5,,301,1,S,KCH,BHC,,,
10,6,7/19/18,42,34.5,,301,2,T,KCH,NSW,BHC,,
6,6,7/19/18,42,30,,302,0,V,KCH,NSW,,,
6,6,7/19/18,42,30,,302,1,N,KCH,BHC,,,
6,6,7/19/18,42,30,,302,2,V,KCH,BHC,NSW,,
7,6,7/19/18,42,30,,302,0,V,KCH,NSW,,,
7,6,7/19/18,42,30,,302,1,V,KCH,BHC,,,
7,6,7/19/18,42,30,,302,2,V,KCH,NSW,BHC,,
8,6,7/19/18,42,33.5,,302,0,V,KCH,NSW,,,
8,6,7/19/18,42,33.5,,302,1,V,KCH,BHC,,,
8,6,7/19/18,42,33.5,,302,2,M,KCH,NSW,BHC,,
